Log file started: 2022-08-24 11:36:38.037953
2022-08-24 11:36:40 NOTICE:  Continuous- InitialValue: 5.0 InputHigh: 5.0 InputLow: 5.0
2022-08-24 11:36:44 NOTICE:  MA: 5 Gain: 2.404 Offset: -1.28
2022-08-24 11:36:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:36:49 ERROR:  local variable 'measurementCount' referenced before assignment
