DateTime,RawMFCData,MFCData,RawPressureData,PressureData,MAPressureData,InputMFCValue,Height
2022-08-24 11:36:45.226031,854,0.1954680704966812,24498,-0.062140841382467546,-0.062140841382467546,127.5,-0.090
2022-08-24 11:36:45.350049,514,0.11764705882352941,24965,-0.004666955062180604,-0.004666955062180604,127.5,-0.007
2022-08-24 11:36:45.510058,721,0.1650263218127718,24982,-0.0025747579156174287,-0.0025747579156174287,127.5,-0.004
2022-08-24 11:36:45.638050,501,0.11467154955367362,25080,0.009486143282215682,0.009486143282215682,127.5,0.014
2022-08-24 11:36:45.814068,942,0.21560997940032042,24735,-0.032973151750972644,-0.032973151750972644,127.5,-0.048
2022-08-24 11:36:45.946048,383,0.08766308079652094,25064,0.007517016556038859,0.007517016556038859,127.5,0.011
2022-08-24 11:36:46.110013,807,0.1847104600595102,25072,0.008501579919127004,0.0028338599730423344,127.5,0.004
2022-08-24 11:36:46.294007,574,0.13138017853055617,24952,-0.006266870527198907,-0.00019971686037141253,127.5,-0.000
2022-08-24 11:36:46.506007,554,0.12680247196154726,24693,-0.03814210940718714,-0.01284718104264332,127.5,-0.019
2022-08-24 11:36:46.697998,1034,0.2366674296177615,24810,-0.023742870222018684,-0.016479077435768444,127.5,-0.024
2022-08-24 11:36:46.905996,1000,0.22888532845044635,24689,-0.03863439108873094,-0.023864181986755946,127.5,-0.035
2022-08-24 11:36:47.123498,918,0.21011673151750973,24936,-0.008235997253376265,-0.018654787075629387,127.5,-0.027
2022-08-24 11:36:47.363504,705,0.16136415655756467,24997,-0.0007287016098269569,-0.012679425253695245,127.5,-0.018
2022-08-24 11:36:47.511487,962,0.22018768596932936,24702,-0.03703447562371264,-0.020797775377034377,127.5,-0.030
2022-08-24 11:36:47.683483,1067,0.24422064545662625,24739,-0.032480870069428305,-0.024692140274499022,127.5,-0.036
2022-08-24 11:36:47.861187,546,0.1249713893339437,25024,0.002594199740596533,-0.015596693602800506,127.5,-0.023
2022-08-24 11:36:48.025222,490,0.11215381094071869,24536,-0.05746416540779739,-0.029552517537799465,127.5,-0.043
2022-08-24 11:36:48.177175,615,0.1407644769970245,25106,0.01268597421225282,-0.015473020287782038,127.5,-0.023
2022-08-24 11:36:48.371960,554,0.12680247196154726,24650,-0.04343413748378745,-0.024793392686450512,127.5,-0.036
2022-08-24 11:36:48.535956,1018,0.23300526436255437,24670,-0.04097272907606629,-0.03018650481632244,127.5,-0.044
2022-08-24 11:36:48.783950,832,0.19043259327077133,24712,-0.0358037714198518,-0.03205892701749889,127.5,-0.047
2022-08-24 11:36:48.931948,920,0.21057450217441062,24974,-0.0035593212787061075,-0.022559058437901302,127.5,-0.033
2022-08-24 11:36:49.095944,945,0.21629663538567176,24973,-0.0036823916990919255,-0.016266836191631513,127.5,-0.024
2022-08-24 11:36:49.283940,927,0.21217669947356374,24932,-0.00872827893492007,-0.013753983772727699,127.5,-0.020
2022-08-24 11:36:49.483943,920,0.21057450217441062,24688,-0.0387574615091173,-0.022088476351524233,127.5,-0.032
2022-08-24 11:36:49.631933,924,0.2114900434882124,25048,0.005547889829862035,-0.012876354291062146,127.5,-0.019
2022-08-24 11:36:49.959742,805,0.18425268940260928,24757,-0.03026560250247931,-0.018672770361534537,127.5,-0.027
2022-08-24 11:36:50.265442,890,0.20370794232089723,24763,-0.029527179980163337,-0.02229090690107747,127.5,-0.032
2022-08-24 11:36:50.584788,905,0.20714122224765394,24960,-0.005282307164110761,-0.016621373655421903,127.5,-0.024
2022-08-24 11:36:50.867007,1840,0.42114900434882124,24579,-0.05217213733119708,-0.02847162821401363,127.5,-0.041
2022-08-24 11:36:51.189990,16232,3.715266651407645,25088,0.010470706645303827,-0.01549084992757448,127.5,-0.023
2022-08-24 11:36:52.174847,21301,4.875486381322958,24922,-0.009958983138780918,-0.01364689433130996,127.5,-0.020
2022-08-24 11:36:52.358847,21045,4.816891737239644,24637,-0.045034052948805754,-0.02410928053714189,127.5,-0.035
2022-08-24 11:36:52.518845,1961,0.4488441290913252,24538,-0.05721802456702522,-0.035145528547103,127.5,-0.051
2022-08-24 11:36:52.819223,12885,2.9491874570840007,24919,-0.010328194399938906,-0.026873083831381636,127.5,-0.039
2022-08-24 11:36:53.110174,22407,5.12863355458915,24787,-0.026573489890897833,-0.026773219184553707,127.5,-0.039
2022-08-24 11:36:53.448706,22186,5.078049897001602,24828,-0.02152760265506969,-0.025024680341392366,127.5,-0.036
2022-08-24 11:36:53.725848,21452,4.910048065918975,24789,-0.026327349050125664,-0.025458903244303468,127.5,-0.037
2022-08-24 11:36:54.048179,21777,4.98443579766537,24896,-0.013158814068818057,-0.021358873519141668,127.5,-0.031
2022-08-24 11:36:54.351685,21807,4.991302357518883,24752,-0.030880954604410003,-0.02453290054756445,127.5,-0.036
2022-08-24 11:36:54.670200,21692,4.964980544747082,25001,-0.00023641992828261758,-0.016434073674470508,127.5,-0.024
2022-08-24 11:36:54.954151,21530,4.92790112153811,24637,-0.045034052948805754,-0.025967400099248923,127.5,-0.038
2022-08-24 11:36:55.325217,21298,4.874799725337606,24973,-0.0036823916990919255,-0.01853906396586326,127.5,-0.027
2022-08-24 11:36:55.585898,21832,4.997024490730144,24776,-0.0279272645151445,-0.021668464148957005,127.5,-0.032
2022-08-24 11:36:55.891396,21772,4.9832913710231175,24932,-0.00872827893492007,-0.017355069077611363,127.5,-0.025
2022-08-24 11:36:56.191813,21553,4.93316548409247,24750,-0.031127095445182173,-0.0219457445334683,127.5,-0.032
