DateTime,RawMFCData,MFCData,RawPressureData,PressureData,MAPressureData,InputMFCValue,Height,Weight
2022-10-21 10:38:17.088550,45,0.10780883789062501,2264,0.035104652343749924,0.035104652343749924,129.92968511158668,0.051120798520096,1.857417685832324
2022-10-21 10:38:17.355557,107,0.25634545898437505,2221,-0.0079565932617189,-0.0079565932617189,129.92968511158668,-0.011586709278751856,-0.4109213633054938
2022-10-21 10:38:18.734873,2073,4.9663937988281255,2234,0.0050619228515623935,0.0050619228515623935,129.92968511158668,0.007371374474388224,0.2633616056588026
2022-10-21 10:38:19.881957,2067,4.952019287109376,2215,-0.013965139160156462,-0.013965139160156462,129.92968511158668,-0.020336594087893494,-0.7187691166045052
2022-10-21 10:38:21.033050,2071,4.961602294921875,2212,-0.016969412109374964,-0.016969412109374964,129.92968511158668,-0.024711536492463906,-0.8718972580554378
2022-10-21 10:38:22.196776,2083,4.990351318359376,2228,-0.0009466230468751693,-0.0009466230468751693,129.92968511158668,-0.0013785103347534137,-0.04908372878743607
2022-10-21 10:38:23.415887,2068,4.954415039062501,2220,-0.008958017578125067,-0.008958017578125067,129.92968511158668,-0.01304502341360866,-0.46237668055876113
2022-10-21 10:38:24.421056,2071,4.961602294921875,2218,-0.01096086621093768,-0.01096086621093768,129.92968511158668,-0.015961651683322673,-0.5651104850211855
2022-10-21 10:38:25.560359,2071,4.961602294921875,2214,-0.01496656347656263,-0.01496656347656263,129.92968511158668,-0.0217949082227503,-0.7698707737695241
2022-10-21 10:38:26.725023,2074,4.968789550781251,2216,-0.012963714843750015,-0.012963714843750015,129.92968511158668,-0.018878279953036283,-0.6676085160914305
2022-10-21 10:38:27.924813,2070,4.959206542968751,2219,-0.009959441894531235,-0.009959441894531235,129.92968511158668,-0.014503337548465466,-0.5137730544639868
2022-10-21 10:38:29.017029,2077,4.975976806640626,2219,-0.009959441894531235,-0.009959441894531235,129.92968511158668,-0.014503337548465466,-0.5137730544639868
2022-10-21 10:38:30.150925,2076,4.9735810546875,2225,-0.003950895996093951,-0.003950895996093951,129.92968511158668,-0.005753452739324233,-0.20451066081199684
2022-10-21 10:38:31.398409,2074,4.968789550781251,2217,-0.011962290527343848,-0.011962290527343848,129.92968511158668,-0.017419965818179478,-0.6163889722303287
2022-10-21 10:38:32.439112,2070,4.959206542968751,2217,-0.011962290527343848,-0.011962290527343848,129.92968511158668,-0.017419965818179478,-0.6163889722303287
2022-10-21 10:38:33.525070,2075,4.9711853027343755,2221,-0.0079565932617189,-0.0079565932617189,129.92968511158668,-0.011586709278751856,-0.4109213633054938
2022-10-21 10:38:34.661336,2069,4.956810791015625,2219,-0.009959441894531235,-0.009959441894531235,129.92968511158668,-0.014503337548465466,-0.5137730544639868
2022-10-21 10:38:35.797614,2074,4.968789550781251,2210,-0.018972260742187576,-0.018972260742187576,129.92968511158668,-0.027628164762177918,-0.9736879689492007
2022-10-21 10:38:36.992881,2076,4.9735810546875,2213,-0.015967987792968798,-0.015967987792968798,129.92968511158668,-0.023253222357607104,-0.820913487586502
2022-10-21 10:38:38.052081,2070,4.959206542968751,2217,-0.011962290527343848,-0.011962290527343848,129.92968511158668,-0.017419965818179478,-0.6163889722303287
2022-10-21 10:38:39.318373,2068,4.954415039062501,2222,-0.006955168945312732,-0.006955168945312732,129.92968511158668,-0.010128395143895052,-0.3594071027041852
2022-10-21 10:38:40.366668,2072,4.963998046875001,2223,-0.005953744628906286,-0.005953744628906286,129.92968511158668,-0.008670081009037841,-0.3078338987548209
2022-10-21 10:38:41.512491,2072,4.963998046875001,2221,-0.0079565932617189,-0.0079565932617189,129.92968511158668,-0.011586709278751856,-0.4109213633054938
2022-10-21 10:38:42.637853,2057,4.928061767578126,2219,-0.009959441894531235,-0.009959441894531235,129.92968511158668,-0.014503337548465466,-0.5137730544639868
2022-10-21 10:38:43.837218,2074,4.968789550781251,2217,-0.011962290527343848,-0.011962290527343848,129.92968511158668,-0.017419965818179478,-0.6163889722303287
2022-10-21 10:38:44.615354,2070,4.959206542968751,2222,-0.006955168945312732,-0.006955168945312732,129.92968511158668,-0.010128395143895052,-0.3594071027041852
2022-10-21 10:38:45.748312,2078,4.978372558593751,2213,-0.015967987792968798,-0.015967987792968798,129.92968511158668,-0.023253222357607104,-0.820913487586502
