DateTime,RawMFCData,MFCData,RawPressureData,PressureData,MAPressureData,InputMFCValue,Height,Weight
2022-10-21 14:59:47.954935,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:48.295103,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:49.869606,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:50.930004,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:51.925540,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:53.031712,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:54.214406,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:55.405392,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:56.517711,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:57.456308,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:58.513252,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 14:59:59.710471,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:00.765128,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:01.816537,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:02.990831,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:04.142547,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:05.181661,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:06.350590,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:07.594566,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:08.536972,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:09.676028,0,0.0,0,-2.20704,-2.20704,255,-3.213979903888161,28.649698899732666
2022-10-21 15:00:10.813566,4095,9.810604248046875,648,-1.5581170429687503,-1.5581170429687503,255,-2.268992344500874,-9.488046719927167
2022-10-21 15:00:11.884655,4095,9.810604248046875,2220,0.016121982421874955,0.016121982421874955,255,0.02347747549421138,0.8440342893281051
2022-10-21 15:00:13.087246,4095,9.810604248046875,2218,0.014119133789062342,0.014119133789062342,255,0.020560847224497365,0.7383480916699913
2022-10-21 15:00:14.221206,4095,9.810604248046875,2220,0.016121982421874955,0.016121982421874955,255,0.02347747549421138,0.8440342893281051
2022-10-21 15:00:15.294580,4095,9.810604248046875,2213,0.009112012207031225,0.009112012207031225,255,0.013269276550212938,0.4751641061154527
2022-10-21 15:00:16.458099,4095,9.810604248046875,2208,0.0041048906249998305,0.0041048906249998305,255,0.005977705875928106,0.21345370426193402
2022-10-21 15:00:17.582676,4095,9.810604248046875,2219,0.015120558105468787,0.015120558105468787,255,0.022019161359354576,0.7911617188250349
2022-10-21 15:00:18.629938,4095,9.810604248046875,2215,0.01111486083984356,0.01111486083984356,255,0.016185904819926544,0.5802608702931382
2022-10-21 15:00:19.800222,4095,9.810604248046875,2210,0.006107739257812444,0.006107739257812444,255,0.00889433414564212,0.3179610349592203
2022-10-21 15:00:20.900615,197,0.471963134765625,2214,0.010113436523437392,0.010113436523437392,255,0.014727590685069743,0.5276830165302748
2022-10-21 15:00:22.095596,2423,5.804906982421875,2217,0.013117709472656175,0.0008463038369455596,255,0.0012324214896542297,0.04392662950999239
2022-10-21 15:00:23.221290,4078,9.769876464843751,2230,0.026136225585937468,0.002477911691719231,255,0.0036084340930817404,0.12873256319478832
2022-10-21 15:00:24.342076,4012,9.611756835937502,2217,0.013117709472656175,0.003164350258231292,255,0.00460805338318231,0.1644582803132965
2022-10-21 15:00:25.325497,3876,9.2859345703125,2217,0.013117709472656175,0.0038065024656135423,255,0.005543181106179616,0.1979041849628626
2022-10-21 15:00:26.588429,3464,8.298884765625,2220,0.016121982421874955,0.004601049559565891,255,0.006700232357020375,0.23932098356119472
2022-10-21 15:00:27.648057,939,2.2496110839843753,2211,0.007109163574218612,0.004762863366962841,255,0.006935872094018991,0.2477602861547581
2022-10-21 15:00:28.758039,339,0.8121599121093751,2214,0.010113436523437392,0.00510806163512249,255,0.007438563616022266,0.26576903936103957
2022-10-21 15:00:29.996630,340,0.8145556640625,2211,0.007109163574218612,0.0052371649860319175,255,0.007626569078246568,0.2725060707891398
2022-10-21 15:00:31.229773,334,0.8001811523437501,2216,0.012116285156250007,0.0056809791905621165,255,0.008272869070281224,0.29567320734189667
2022-10-21 15:00:32.157000,325,0.7786193847656252,2217,0.013117709472656175,0.0061607682410197975,255,0.008971557071530212,0.32073125649397455
