DateTime,RawMFCData,MFCData,RawPressureData,PressureData,InputMFCValue
2022-07-06 12:35:29.448195,1023,15.0,368,0.9982893450635386,100
2022-07-06 12:35:29.670200,22,0.3225806451612903,367,0.9921798631476051,100
2022-07-06 12:35:30.756498,37,0.5425219941348973,367.0,0.9921798631476051,100
2022-07-06 12:35:31.743099,324,4.750733137829911,366.0,0.9860703812316716,100
2022-07-06 12:35:32.767558,404,5.92375366568915,369.0,1.0043988269794721,100
2022-07-06 12:35:33.791759,407,5.967741935483871,368.0,0.9982893450635386,100
2022-07-06 12:35:34.862794,408,5.9824046920821115,369.0,1.0043988269794721,100
2022-07-06 12:35:35.883277,406,5.9530791788856305,368.0,0.9982893450635386,100
2022-07-06 12:35:36.895282,408,5.9824046920821115,369.0,1.0043988269794721,100
2022-07-06 12:35:37.912741,406,5.9530791788856305,368.0,0.9982893450635386,100
2022-07-06 12:35:38.933937,407,5.967741935483871,367.0,0.9921798631476051,100
2022-07-06 12:35:39.939150,413,6.055718475073314,368.0,0.9982893450635386,100
2022-07-06 12:35:40.968762,405,5.93841642228739,368.0,0.9982893450635386,100
2022-07-06 12:35:41.968304,408,5.9824046920821115,369.0,1.0043988269794721,100
2022-07-06 12:35:42.984059,406,5.9530791788856305,370.0,1.0105083088954057,100
2022-07-06 12:35:43.998565,410,6.011730205278592,372.0,1.0227272727272727,100
2022-07-06 12:35:45.041042,411,6.026392961876833,379.0,1.0654936461388074,100
2022-07-06 12:35:46.059044,431,6.319648093841642,416.0,1.291544477028348,100
2022-07-06 12:35:47.084200,414,6.070381231671554,429.0,1.3709677419354838,100
2022-07-06 12:35:48.155450,405,5.93841642228739,425.0,1.3465298142717497,100
2022-07-06 12:35:49.112097,402,5.894428152492669,426.0,1.3526392961876832,100
2022-07-06 12:35:50.140452,406,5.9530791788856305,423.0,1.3343108504398826,100
2022-07-06 12:35:51.136392,406,5.9530791788856305,424.0,1.3404203323558161,100
2022-07-06 12:35:52.189739,405,5.93841642228739,425.0,1.3465298142717497,100
2022-07-06 12:35:53.225890,403,5.909090909090909,421.0,1.3220918866080156,100
2022-07-06 12:35:54.233723,404,5.92375366568915,422.0,1.328201368523949,100
2022-07-06 12:35:55.272089,402,5.894428152492669,421.0,1.3220918866080156,100
2022-07-06 12:35:56.301502,402,5.894428152492669,422.0,1.328201368523949,100
2022-07-06 12:35:57.364545,404,5.92375366568915,421.0,1.3220918866080156,100
2022-07-06 12:35:58.336886,405,5.93841642228739,420.0,1.315982404692082,100
2022-07-06 12:35:59.367578,405,5.93841642228739,420.0,1.315982404692082,100
2022-07-06 12:36:00.364495,405,5.93841642228739,420.0,1.315982404692082,100
2022-07-06 12:36:01.385971,406,5.9530791788856305,419.0,1.3098729227761485,100
2022-07-06 12:36:02.418015,405,5.93841642228739,419.0,1.3098729227761485,100
2022-07-06 12:36:03.429516,403,5.909090909090909,418.0,1.303763440860215,100
2022-07-06 12:36:04.446605,405,5.93841642228739,419.0,1.3098729227761485,100
2022-07-06 12:36:05.458203,402,5.894428152492669,420.0,1.315982404692082,100
2022-07-06 12:36:06.481918,403,5.909090909090909,418.0,1.303763440860215,100
2022-07-06 12:36:07.528010,403,5.909090909090909,420.0,1.315982404692082,100
2022-07-06 12:36:08.497927,404,5.92375366568915,418.0,1.303763440860215,5
2022-07-06 12:36:09.533923,404,5.92375366568915,418.0,1.303763440860215,5
2022-07-06 12:36:10.548948,53,0.7771260997067448,367.0,0.9921798631476051,5
2022-07-06 12:36:11.580686,47,0.689149560117302,367.0,0.9921798631476051,5
2022-07-06 12:36:12.619097,47,0.689149560117302,365.0,0.979960899315738,5
2022-07-06 12:36:13.612224,42,0.6158357771260997,367.0,0.9921798631476051,5
2022-07-06 12:36:14.654063,45,0.6598240469208211,366.0,0.9860703812316716,5
2022-07-06 12:36:15.686052,40,0.5865102639296187,366.0,0.9860703812316716,5
2022-07-06 12:36:16.688774,41,0.6011730205278591,366.0,0.9860703812316716,5
2022-07-06 12:36:17.775956,38,0.5571847507331378,367.0,0.9921798631476051,5
2022-07-06 12:36:18.721129,36,0.5278592375366569,369.0,1.0043988269794721,5
2022-07-06 12:36:19.754919,35,0.5131964809384164,367.0,0.9921798631476051,5
2022-07-06 12:36:20.806511,32,0.46920821114369504,368.0,0.9982893450635386,5
2022-07-06 12:36:21.797486,31,0.4545454545454546,366.0,0.9860703812316716,5
2022-07-06 12:36:22.821094,33,0.4838709677419355,365.0,0.979960899315738,5
2022-07-06 12:36:23.887382,28,0.4105571847507331,367.0,0.9921798631476051,5
2022-07-06 12:36:24.872158,25,0.36656891495601174,366.0,0.9860703812316716,5
2022-07-06 12:36:25.904686,25,0.36656891495601174,367.0,0.9921798631476051,5
2022-07-06 12:36:26.918867,24,0.3519061583577713,366.0,0.9860703812316716,5
2022-07-06 12:36:28.020947,23,0.33724340175953077,365.0,0.979960899315738,5
2022-07-06 12:36:29.008551,19,0.2785923753665689,365.0,0.979960899315738,100
2022-07-06 12:36:29.989745,20,0.29325513196480935,367.0,0.9921798631476051,100
2022-07-06 12:36:31.047940,337,4.941348973607038,414.0,1.279325513196481,100
2022-07-06 12:36:32.032497,403,5.909090909090909,424.0,1.3404203323558161,100
2022-07-06 12:36:33.107864,403,5.909090909090909,424.0,1.3404203323558161,100
2022-07-06 12:36:33.992492,403,5.909090909090909,422.0,1.328201368523949,100
